cell_label	Estimated_class	Prob	Best_class	Actual_class	Actual==Best_class	top5_genes	top5_gene_counts	closest_cell_labels	closest_cell_classes	dist
4	['335 BAM NN']	[1.0]	335 BAM NN	334 Microglia NN	False	['Ptgds', 'Hexb', 'Junb', 'P2ry12', 'Cx3cr1']	[30.5, 0.479, 0.009, 1.95, 5.48]	[5, 11, 3, 10, 12, 2]	['046 Vip Gaba', '045 OB-STR-CTX Inh IMN', '053 Sst Gaba', '330 VLMC NN', '038 DG-PIR Ex IMN', '029 L6b CTX Glut']	[36.0, 37.64, 39.0, 50.92, 59.61, 72.01]
6	['053 Sst Gaba']	[1.0]	053 Sst Gaba	326 OPC NN	False	['Npy', 'Sst', 'Col25a1', 'Cnr1', 'Nos1']	[45.029, 19.649, 15.529, 16.799, 11.859]	[13, 5, 7, 14, 12, 20]	['056 Sst Chodl Gaba', '046 Vip Gaba', '048 RHP-COA Ndnf Gaba', '016 CA1-ProS Glut', '038 DG-PIR Ex IMN', '331 Peri NN']	[36.12, 37.95, 41.18, 52.54, 54.34, 72.06]
12	['056 Sst Chodl Gaba']	[1.0]	056 Sst Chodl Gaba	038 DG-PIR Ex IMN	False	['Npy', 'Sst', 'Nxph1', 'Pde1a', 'Nos1']	[51.259, 21.969, 14.64, 32.099, 7.88]	[19, 13, 11, 5, 18, 20]	['333 Endo NN', '056 Sst Chodl Gaba', '045 OB-STR-CTX Inh IMN', '046 Vip Gaba', '007 L2/3 IT CTX Glut', '331 Peri NN']	[36.88, 39.4, 41.18, 47.51, 52.55, 53.37]
15	['046 Vip Gaba']	[1.0]	046 Vip Gaba	319 Astro-TE NN	False	['Rab3c', 'Cnr1', 'Gad2', 'Kcnip1', 'Rasgrf2']	[17.489, 13.47, 7.55, 6.65, 5.869]	[8, 16, 22, 23, 9, 29]	['049 Lamp5 Gaba', '031 CT SUB Glut', '047 Sncg Gaba', '022 L5 ET CTX Glut', '005 L5 IT CTX Glut', '032 L5 NP CTX Glut']	[37.36, 37.64, 37.95, 51.26, 53.08, 72.11]
17	['330 VLMC NN']	[1.0]	330 VLMC NN	332 SMC NN	False	['Ptgds', 'Nnat', 'Dcn', 'Igf2', 'Apod']	[95.489, 4.489, 3.009, 4.239, 4.019]	[24, 10, 18, 16, 11, 9]	['036 HPF CR Glut', '330 VLMC NN', '007 L2/3 IT CTX Glut', '031 CT SUB Glut', '045 OB-STR-CTX Inh IMN', '005 L5 IT CTX Glut']	[36.0, 36.67, 37.36, 42.72, 51.0, 51.0]
20	['053 Sst Gaba', '052 Pvalb Gaba']	[0.997, 0.003]	053 Sst Gaba	331 Peri NN	False	['Npy', 'Sst', 'Nxph1', 'Pcp4', 'Gad1']	[36.529, 26.049, 15.409, 18.0, 13.409]	[13, 21, 19, 27, 28, 26]	['056 Sst Chodl Gaba', '337 DC NN', '333 Endo NN', '327 Oligo NN', '025 CA2-FC-IG Glut', '052 Pvalb Gaba']	[36.0, 36.67, 36.88, 38.28, 50.95, 51.39]
21	['031 CT SUB Glut']	[1.0]	031 CT SUB Glut	337 DC NN	False	['Sv2b', 'Pcp4', 'Slc17a7', 'Cplx2', 'Neurod6']	[17.92, 18.25, 19.12, 14.229, 7.119]	[14, 20, 28, 27, 13, 19]	['016 CA1-ProS Glut', '331 Peri NN', '025 CA2-FC-IG Glut', '327 Oligo NN', '056 Sst Chodl Gaba', '333 Endo NN']	[36.12, 36.67, 37.11, 51.26, 51.39, 72.01]
25	['006 L4/5 IT CTX Glut']	[1.0]	006 L4/5 IT CTX Glut	336 Monocytes NN	False	['Nrgn', 'Pde1a', 'Rasgrf2', 'Stmn1', 'Snca']	[50.689, 16.54, 9.279, 9.6, 8.699]	[18, 26, 32, 24, 19, 31]	['007 L2/3 IT CTX Glut', '052 Pvalb Gaba', '004 L6 IT CTX Glut', '036 HPF CR Glut', '333 Endo NN', '006 L4/5 IT CTX Glut']	[36.01, 36.12, 37.11, 37.64, 51.07, 51.07]
34	['051 Pvalb chandelier Gaba']	[1.0]	051 Pvalb chandelier Gaba	338 Lymphoid NN	False	['Snca', 'Gad1', 'Pvalb', 'Qk', 'Parm1']	[16.649, 8.359, 4.869, 12.68, 4.619]	[33, 35, 27, 28, 26, 20]	['051 Pvalb chandelier Gaba', '030 L6 CT CTX Glut', '327 Oligo NN', '025 CA2-FC-IG Glut', '052 Pvalb Gaba', '331 Peri NN']	[36.35, 37.64, 42.19, 51.39, 53.37, 72.56]
10	['053 Sst Gaba']	[1.0]	053 Sst Gaba	031 CT SUB Glut	False	['Gad2', 'Npy', 'Gad1', 'Reln', 'Nxph1']	[24.28, 19.84, 21.68, 13.359, 13.88]	[9, 3, 11, 17, 4, 2]	['337 DC NN', '049 Lamp5 Gaba', '053 Sst Gaba', '050 Lamp5 Lhx6 Gaba', '047 Sncg Gaba', '334 Microglia NN']	[36.0, 36.35, 39.0, 47.51, 50.92, 51.7]
